,id_collar,id_itm,id_user,lat,lng,time_stamp,month
1783,AV337,1FAE5DE,3508,36.823788815,-4.86802472,2022-02-19 06:32:56,2
1784,AO771,BF8B66,3508,36.824460212,-4.868528267,2022-02-19 06:41:23,2
1785,AV338,1FAE67D,3508,36.82371252,-4.868116274,2022-02-19 06:49:46,2
1786,AV338,1FAE67D,3508,36.823453117,-4.867933165,2022-02-19 07:19:33,2
1787,AV338,1FAE67D,3508,36.823529412,-4.867780575,2022-02-19 07:49:28,2
1788,AV338,1FAE67D,3508,36.823575189,-4.867566949,2022-02-19 08:20:01,2
1789,AV337,1FAE5DE,3508,36.823620966,-4.868039979,2022-02-19 08:32:57,2
1790,AV338,1FAE67D,3508,36.823498894,-4.867383841,2022-02-19 08:49:14,2
1791,AV337,1FAE5DE,3508,36.823498894,-4.867521172,2022-02-19 09:03:05,2
1792,AO771,BF8B66,3508,36.824399176,-4.868772412,2022-02-19 09:14:35,2
1793,AV338,1FAE67D,3508,36.823529412,-4.867887388,2022-02-19 09:19:29,2
1794,AV338,1FAE67D,3508,36.823666743,-4.867994202,2022-02-19 09:48:50,2
1795,AO771,BF8B66,3508,36.8240177,-4.868207828,2022-02-19 10:12:36,2
1796,AV338,1FAE67D,3508,36.823605707,-4.867887388,2022-02-19 10:18:37,2
1797,AV337,1FAE5DE,3508,36.82355993,-4.867872129,2022-02-19 10:34:01,2
1798,AO771,BF8B66,3508,36.824246586,-4.867963684,2022-02-19 10:42:38,2
1799,AV338,1FAE67D,3508,36.823620966,-4.868116274,2022-02-19 10:49:12,2
1800,AV338,1FAE67D,3508,36.823590448,-4.868009461,2022-02-19 11:18:57,2
1801,AV338,1FAE67D,3508,36.823529412,-4.867994202,2022-02-19 11:48:52,2
1802,AV337,1FAE5DE,3508,36.823910887,-4.866956588,2022-02-19 12:04:09,2
1803,AO771,BF8B66,3508,36.824582284,-4.86785687,2022-02-19 12:12:56,2
1804,AV338,1FAE67D,3508,36.82386511,-4.86785687,2022-02-19 12:17:59,2
1805,AV337,1FAE5DE,3508,36.823331044,-4.867963684,2022-02-19 12:34:15,2
1806,AV338,1FAE67D,3508,36.823682002,-4.867750057,2022-02-19 12:47:48,2
1807,AV338,1FAE67D,3508,36.823788815,-4.868314641,2022-02-19 13:18:19,2
1808,AO771,BF8B66,3508,36.824200809,-4.868528267,2022-02-19 13:43:26,2
1809,AV338,1FAE67D,3508,36.823697261,-4.868009461,2022-02-19 13:47:53,2
1810,AV338,1FAE67D,3508,36.823544671,-4.868131533,2022-02-19 14:47:52,2
1811,AV337,1FAE5DE,3508,36.823392081,-4.868055238,2022-02-19 15:03:50,2
1812,AO771,BF8B66,3508,36.824307622,-4.868680858,2022-02-19 15:13:41,2
1813,AV338,1FAE67D,3508,36.823605707,-4.867994202,2022-02-19 15:17:25,2
1814,AV337,1FAE5DE,3508,36.82386511,-4.868131533,2022-02-19 15:34:40,2
1815,AV337,1FAE5DE,3508,36.823758297,-4.868039979,2022-02-19 16:04:09,2
1816,AV338,1FAE67D,3508,36.823651484,-4.867963684,2022-02-19 16:17:05,2
1817,AO771,BF8B66,3508,36.824429694,-4.868451972,2022-02-19 16:44:10,2
1818,AV338,1FAE67D,3508,36.823727779,-4.867933165,2022-02-19 16:47:10,2
1819,AV337,1FAE5DE,3508,36.82355993,-4.868039979,2022-02-19 17:04:45,2
1820,AV338,1FAE67D,3508,36.823575189,-4.868070497,2022-02-19 17:16:23,2
